Manufacturer,Generation,Product Name,GPU URL,GPU Chip,Chip URL,Released,Bus,Memory,GPU clock,Memory clock,Architecture,Foundry,Process Size,Transistors,Density,Die Size,DirectX,OpenGL,OpenCL,Vulkan,Shader Model,WDDM,Tensor Cores,RT Cores,Shading Units,TMUs,ROPs,SM Count,L0 Cache,L1 Cache,L2 Cache,L3 Cache,Max. TDP,Pixel Rate,Texture Rate,FP16 (half),FP32 (float),FP64 (double)
Nvidia,GeForce 200,GeForce 210,https://www.techpowerup.com/gpu-specs/geforce-210.c2020,GT218S,https://www.techpowerup.com/gpu-specs/nvidia-gt218s.g140,"Oct 12th, 2009",PCIe 2.0 x16,"512 MB, DDR3, 64 bit",520 MHz,400 MHz,Tesla 2.0,TSMC,40 nm,260 million,4.6M / mm²,57 mm²,11.1 (10_1),3.3,1.1,N/A,4.1,1.2,,,16,8,4,2,,,32 KB,,50 W,2.080 GPixel/s,4.160 GTexel/s,,39.36 GFLOPS,
Nvidia,GeForce 200,GeForce 210 Rev. 2,https://www.techpowerup.com/gpu-specs/geforce-210-rev-2.c3279,GT218S,https://www.techpowerup.com/gpu-specs/nvidia-gt218s.g140,"Oct 12th, 2009",PCIe 2.0 x16,"1024 MB, DDR3, 64 bit",520 MHz,400 MHz,Tesla 2.0,TSMC,40 nm,260 million,4.6M / mm²,57 mm²,11.1 (10_1),3.3,1.1,N/A,4.1,1.2,,,16,8,4,2,,,32 KB,,50 W,2.080 GPixel/s,4.160 GTexel/s,,39.36 GFLOPS,
Nvidia,GeForce 200,GeForce G210 OEM,https://www.techpowerup.com/gpu-specs/geforce-g210-oem.c2169,G96C,https://www.techpowerup.com/gpu-specs/nvidia-g96c.g145,"May 26th, 2009",PCIe 1.0 x16,"512 MB, DDR2, 64 bit",550 MHz,504 MHz,Tesla,TSMC,55 nm,314 million,2.6M / mm²,121 mm²,11.1 (10_0),3.3,1.1,N/A,4.0,1.2,,,32,16,8,4,,,32 KB,,50 W,2.200 GPixel/s,4.400 GTexel/s,,43.20 GFLOPS,
Nvidia,GeForce 200,GeForce G210 OEM Rev. 2,https://www.techpowerup.com/gpu-specs/geforce-g210-oem-rev-2.c2170,GT218S,https://www.techpowerup.com/gpu-specs/nvidia-gt218s.g140,"Aug 24th, 2009",PCIe 2.0 x16,"128 MB, DDR2, 64 bit",589 MHz,400 MHz,Tesla 2.0,TSMC,40 nm,260 million,4.6M / mm²,57 mm²,11.1 (10_1),3.3,1.1,N/A,4.1,1.2,,,16,8,4,2,,,32 KB,,50 W,2.356 GPixel/s,4.712 GTexel/s,,44.86 GFLOPS,
Nvidia,GeForce 200,GeForce GT 220 OEM,https://www.techpowerup.com/gpu-specs/geforce-gt-220-oem.c2010,GT215,https://www.techpowerup.com/gpu-specs/nvidia-gt215.g96,"Oct 12th, 2009",PCIe 2.0 x16,"512 MB, GDDR3, 128 bit",506 MHz,700 MHz,Tesla 2.0,TSMC,40 nm,727 million,5.0M / mm²,144 mm²,11.1 (10_1),3.3,1.1,N/A,4.1,1.2,,,96,32,8,12,,,64 KB,,75 W,4.048 GPixel/s,8.096 GTexel/s,,97.15 GFLOPS,
Nvidia,GeForce 200,GeForce GT 220,https://www.techpowerup.com/gpu-specs/geforce-gt-220.c614,GT216,https://www.techpowerup.com/gpu-specs/nvidia-gt216.g141,"Oct 12th, 2009",PCIe 2.0 x16,"512 MB, DDR2, 128 bit",615 MHz,1000 MHz,Tesla 2.0,TSMC,40 nm,486 million,4.9M / mm²,100 mm²,11.1 (10_1),3.3,1.1,N/A,4.1,1.2,,,48,16,8,6,,,64 KB,,58 W,4.920 GPixel/s,9.840 GTexel/s,,127.7 GFLOPS,
Nvidia,GeForce 200,GeForce GT 220,https://www.techpowerup.com/gpu-specs/geforce-gt-220.c2246,G94,https://www.techpowerup.com/gpu-specs/nvidia-g94.g60,"Jan 26th, 2010",PCIe 2.0 x16,"1024 MB, GDDR3, 128 bit",600 MHz,700 MHz,Tesla,TSMC,65 nm,505 million,2.1M / mm²,240 mm²,11.1 (10_0),3.3,1.1,N/A,4.0,1.2,,,64,32,16,8,,,64 KB,,95 W,4.800 GPixel/s,14.40 GTexel/s,,144.0 GFLOPS,
Nvidia,GeForce 200,GeForce GT 230 OEM,https://www.techpowerup.com/gpu-specs/geforce-gt-230-oem.c618,G92B,https://www.techpowerup.com/gpu-specs/nvidia-g92b.g94,"Apr 27th, 2009",PCIe 2.0 x16,"1536 MB, DDR2, 192 bit",500 MHz,500 MHz,Tesla,TSMC,55 nm,754 million,2.9M / mm²,260 mm²,11.1 (10_0),3.3,1.1,N/A,4.0,1.2,,,128,64,16,16,,,64 KB,,150 W,6.000 GPixel/s,24.00 GTexel/s,,240.0 GFLOPS,
Nvidia,GeForce 200,GeForce GT 230,https://www.techpowerup.com/gpu-specs/geforce-gt-230.c617,G94B,https://www.techpowerup.com/gpu-specs/nvidia-g94b.g144,"Oct 12th, 2009",PCIe 2.0 x16,"512 MB, GDDR3, 256 bit",650 MHz,900 MHz,Tesla,TSMC,55 nm,505 million,2.6M / mm²,196 mm²,11.1 (10_0),3.3,1.1,N/A,4.0,1.2,,,64,32,16,8,,,64 KB,,105 W,10.40 GPixel/s,15.60 GTexel/s,,156.0 GFLOPS,
Nvidia,GeForce 200,GeForce GTS 240 OEM,https://www.techpowerup.com/gpu-specs/geforce-gts-240-oem.c242,G92B,https://www.techpowerup.com/gpu-specs/nvidia-g92b.g94,"Jul 1st, 2009",PCIe 2.0 x16,"1024 MB, GDDR3, 256 bit",675 MHz,1100 MHz,Tesla,TSMC,55 nm,754 million,2.9M / mm²,260 mm²,11.1 (10_0),3.3,1.1,N/A,4.0,1.2,,,128,64,16,16,,,64 KB,,150 W,10.80 GPixel/s,37.80 GTexel/s,,362.9 GFLOPS,
Nvidia,GeForce 200,GeForce GT 240,https://www.techpowerup.com/gpu-specs/geforce-gt-240.c619,GT215,https://www.techpowerup.com/gpu-specs/nvidia-gt215.g96,"Nov 17th, 2009",PCIe 2.0 x16,"1024 MB, GDDR5, 128 bit",550 MHz,850 MHz,Tesla 2.0,TSMC,40 nm,727 million,5.0M / mm²,144 mm²,11.1 (10_1),3.3,1.1,N/A,4.1,1.2,,,96,32,8,12,,,64 KB,,75 W,4.400 GPixel/s,17.60 GTexel/s,,257.3 GFLOPS,
Nvidia,GeForce 200,GeForce GTS 250,https://www.techpowerup.com/gpu-specs/geforce-gts-250.c3178,G92B,https://www.techpowerup.com/gpu-specs/nvidia-g92b.g94,"Mar 4th, 2009",PCIe 2.0 x16,"1024 MB, GDDR3, 256 bit",675 MHz,1008 MHz,Tesla,TSMC,55 nm,754 million,2.9M / mm²,260 mm²,11.1 (10_0),3.3,1.1,N/A,4.0,1.2,,,128,64,16,16,,,64 KB,,150 W,10.80 GPixel/s,43.20 GTexel/s,,414.7 GFLOPS,
Nvidia,GeForce 200,GeForce GTS 250,https://www.techpowerup.com/gpu-specs/geforce-gts-250.c241,G92B,https://www.techpowerup.com/gpu-specs/nvidia-g92b.g94,"Mar 4th, 2009",PCIe 2.0 x16,"1024 MB, GDDR3, 256 bit",702 MHz,1000 MHz,Tesla,TSMC,55 nm,754 million,2.9M / mm²,260 mm²,11.1 (10_0),3.3,1.1,N/A,4.0,1.2,,,128,64,16,16,,,64 KB,,150 W,11.23 GPixel/s,44.93 GTexel/s,,387.1 GFLOPS,
Nvidia,GeForce 200,GeForce GTX 260 OEM,https://www.techpowerup.com/gpu-specs/geforce-gtx-260-oem.c2423,GT200,https://www.techpowerup.com/gpu-specs/nvidia-gt200.g61,"Dec 8th, 2009",PCIe 2.0 x16,"1792 MB, GDDR3, 448 bit",518 MHz,1008 MHz,Tesla 2.0,TSMC,65 nm,"1,400 million",2.4M / mm²,576 mm²,11.1 (10_0),3.3,1.1,N/A,4.0,1.2,,,240,80,32,30,,,256 KB,,236 W,14.50 GPixel/s,33.15 GTexel/s,,414.7 GFLOPS,51.84 GFLOPS (1:8)
Nvidia,GeForce 200,GeForce GTX 260,https://www.techpowerup.com/gpu-specs/geforce-gtx-260.c217,GT200,https://www.techpowerup.com/gpu-specs/nvidia-gt200.g61,"Jun 16th, 2008",PCIe 2.0 x16,"896 MB, GDDR3, 448 bit",576 MHz,999 MHz,Tesla 2.0,TSMC,65 nm,"1,400 million",2.4M / mm²,576 mm²,11.1 (10_0),3.3,1.1,N/A,4.0,1.2,,,240,80,32,30,,,256 KB,,236 W,16.13 GPixel/s,36.86 GTexel/s,,476.9 GFLOPS,59.62 GFLOPS (1:8)
Nvidia,GeForce 200,GeForce GTX 260 Rev. 2,https://www.techpowerup.com/gpu-specs/geforce-gtx-260-rev-2.c2669,GT200B,https://www.techpowerup.com/gpu-specs/nvidia-gt200b.g142,"Jul 23rd, 2008",PCIe 2.0 x16,"896 MB, GDDR3, 448 bit",576 MHz,999 MHz,Tesla 2.0,TSMC,55 nm,"1,400 million",3.0M / mm²,470 mm²,11.1 (10_0),3.3,1.1,N/A,4.0,1.2,,,240,80,32,30,,,256 KB,,800 W,16.13 GPixel/s,36.86 GTexel/s,,476.9 GFLOPS,59.62 GFLOPS (1:8)
Nvidia,GeForce 200,GeForce GTX 260 Core 216,https://www.techpowerup.com/gpu-specs/geforce-gtx-260-core-216.c2422,GT200,https://www.techpowerup.com/gpu-specs/nvidia-gt200.g61,"Sep 16th, 2008",PCIe 2.0 x16,"896 MB, GDDR3, 448 bit",576 MHz,999 MHz,Tesla 2.0,TSMC,65 nm,"1,400 million",2.4M / mm²,576 mm²,11.1 (10_0),3.3,1.1,N/A,4.0,1.2,,,240,80,32,30,,,256 KB,,236 W,16.13 GPixel/s,41.47 GTexel/s,,536.5 GFLOPS,67.07 GFLOPS (1:8)
Nvidia,GeForce 200,GeForce GTX 260 Core 216 Rev. 2,https://www.techpowerup.com/gpu-specs/geforce-gtx-260-core-216-rev-2.c593,GT200B,https://www.techpowerup.com/gpu-specs/nvidia-gt200b.g142,"Nov 27th, 2008",PCIe 2.0 x16,"896 MB, GDDR3, 448 bit",576 MHz,999 MHz,Tesla 2.0,TSMC,55 nm,"1,400 million",3.0M / mm²,470 mm²,11.1 (10_0),3.3,1.1,N/A,4.0,1.2,,,240,80,32,30,,,256 KB,,800 W,16.13 GPixel/s,41.47 GTexel/s,,536.5 GFLOPS,67.07 GFLOPS (1:8)
Nvidia,GeForce 200,GeForce GTX 275,https://www.techpowerup.com/gpu-specs/geforce-gtx-275.c621,GT200B,https://www.techpowerup.com/gpu-specs/nvidia-gt200b.g142,"Jan 15th, 2009",PCIe 2.0 x16,"896 MB, GDDR3, 448 bit",633 MHz,1134 MHz,Tesla 2.0,TSMC,55 nm,"1,400 million",3.0M / mm²,470 mm²,11.1 (10_0),3.3,1.1,N/A,4.0,1.2,,,240,80,32,30,,,256 KB,,800 W,17.72 GPixel/s,50.64 GTexel/s,,673.9 GFLOPS,84.24 GFLOPS (1:8)
Nvidia,GeForce 200,GeForce GTX 275 PhysX Edition,https://www.techpowerup.com/gpu-specs/geforce-gtx-275-physx-edition.c1951,GT200B,https://www.techpowerup.com/gpu-specs/nvidia-gt200b.g142,"Feb 16th, 2010",PCIe 2.0 x16,"896 MB, GDDR3, 448 bit",633 MHz,1134 MHz,Tesla 2.0,TSMC,55 nm,"1,400 million",3.0M / mm²,470 mm²,11.1 (10_0),3.3,1.1,N/A,4.0,1.2,,,240,80,32,30,,,256 KB,,800 W,17.72 GPixel/s,50.64 GTexel/s,,622.1 GFLOPS,77.76 GFLOPS (1:8)
Nvidia,GeForce 200,GeForce GTX 280,https://www.techpowerup.com/gpu-specs/geforce-gtx-280.c216,GT200,https://www.techpowerup.com/gpu-specs/nvidia-gt200.g61,"Jun 16th, 2008",PCIe 2.0 x16,"1024 MB, GDDR3, 512 bit",602 MHz,1107 MHz,Tesla 2.0,TSMC,65 nm,"1,400 million",2.4M / mm²,576 mm²,11.1 (10_0),3.3,1.1,N/A,4.0,1.2,,,240,80,32,30,,,256 KB,,236 W,19.26 GPixel/s,48.16 GTexel/s,,622.1 GFLOPS,77.76 GFLOPS (1:8)
Nvidia,GeForce 200,GeForce GTX 285 Mac Edition,https://www.techpowerup.com/gpu-specs/geforce-gtx-285-mac-edition.c893,GT200B,https://www.techpowerup.com/gpu-specs/nvidia-gt200b.g142,"Jan 15th, 2009",PCIe 2.0 x16,"1024 MB, GDDR3, 512 bit",648 MHz,1242 MHz,Tesla 2.0,TSMC,55 nm,"1,400 million",3.0M / mm²,470 mm²,11.1 (10_0),3.3,1.1,N/A,4.0,1.2,,,240,80,32,30,,,256 KB,,800 W,20.74 GPixel/s,51.84 GTexel/s,,708.5 GFLOPS,88.56 GFLOPS (1:8)
Nvidia,GeForce 200,GeForce GTX 285,https://www.techpowerup.com/gpu-specs/geforce-gtx-285.c238,GT200B,https://www.techpowerup.com/gpu-specs/nvidia-gt200b.g142,"Dec 23rd, 2008",PCIe 2.0 x16,"1024 MB, GDDR3, 512 bit",648 MHz,1242 MHz,Tesla 2.0,TSMC,55 nm,"1,400 million",3.0M / mm²,470 mm²,11.1 (10_0),3.3,1.1,N/A,4.0,1.2,,,240,80,32,30,,,256 KB,,800 W,20.74 GPixel/s,51.84 GTexel/s,,708.5 GFLOPS,88.56 GFLOPS (1:8)
Nvidia,GeForce 200,GeForce GTX 285 X2,https://www.techpowerup.com/gpu-specs/geforce-gtx-285-x2.c4140,GT200B,https://www.techpowerup.com/gpu-specs/nvidia-gt200b.g142,"Jun 17th, 2009",PCIe 2.0 x16,"2 GB, GDDR3, 512 bit",648 MHz,1152 MHz,Tesla 2.0,TSMC,55 nm,"1,400 million",3.0M / mm²,470 mm²,11.1 (10_0),3.3,1.1,N/A,4.0,1.2,,,240,80,32,30,,,256 KB,,800 W,20.74 GPixel/s,51.84 GTexel/s,,708.5 GFLOPS,88.56 GFLOPS (1:8)
Nvidia,GeForce 200,GeForce GTX 295,https://www.techpowerup.com/gpu-specs/geforce-gtx-295.c239,GT200B,https://www.techpowerup.com/gpu-specs/nvidia-gt200b.g142,"Jan 8th, 2009",PCIe 2.0 x16,"896 MB, GDDR3, 448 bit",576 MHz,999 MHz,Tesla 2.0,TSMC,55 nm,"1,400 million",3.0M / mm²,470 mm²,11.1 (10_0),3.3,1.1,N/A,4.0,1.2,,,240,80,32,30,,,256 KB,,800 W,16.13 GPixel/s,46.08 GTexel/s,,596.2 GFLOPS,74.52 GFLOPS (1:8)
Nvidia,GeForce 200,GeForce GTX 295 Single PCB,https://www.techpowerup.com/gpu-specs/geforce-gtx-295-single-pcb.c4141,GT200B,https://www.techpowerup.com/gpu-specs/nvidia-gt200b.g142,"Jun 16th, 2009",PCIe 2.0 x16,"896 MB, GDDR3, 448 bit",576 MHz,1008 MHz,Tesla 2.0,TSMC,55 nm,"1,400 million",3.0M / mm²,470 mm²,11.1 (10_0),3.3,1.1,N/A,4.0,1.2,,,240,80,32,30,,,256 KB,,800 W,16.13 GPixel/s,46.08 GTexel/s,,596.2 GFLOPS,74.52 GFLOPS (1:8)
Nvidia,GeForce 300,GeForce 310 OEM,https://www.techpowerup.com/gpu-specs/geforce-310-oem.c610,GT218S,https://www.techpowerup.com/gpu-specs/nvidia-gt218s.g140,"Nov 27th, 2009",PCIe 2.0 x16,"512 MB, DDR2, 64 bit",589 MHz,333 MHz,Tesla 2.0,TSMC,40 nm,260 million,4.6M / mm²,57 mm²,11.1 (10_1),3.3,1.1,N/A,4.1,1.2,,,16,8,4,2,,,32 KB,,50 W,2.356 GPixel/s,4.712 GTexel/s,,44.86 GFLOPS,
Nvidia,GeForce 300,GeForce 315 OEM,https://www.techpowerup.com/gpu-specs/geforce-315-oem.c2271,GT218S,https://www.techpowerup.com/gpu-specs/nvidia-gt218s.g140,"Feb 22nd, 2011",PCIe 2.0 x16,"1024 MB, DDR3, 64 bit",589 MHz,600 MHz,Tesla 2.0,TSMC,40 nm,260 million,4.6M / mm²,57 mm²,11.1 (10_1),3.3,1.1,N/A,4.1,1.2,,,16,8,4,2,,,32 KB,,50 W,2.356 GPixel/s,4.712 GTexel/s,,44.86 GFLOPS,
Nvidia,GeForce 300,GeForce 315 OEM,https://www.techpowerup.com/gpu-specs/geforce-315-oem.c2107,GT215,https://www.techpowerup.com/gpu-specs/nvidia-gt215.g96,"Apr 28th, 2011",PCIe 2.0 x16,"256 MB, DDR2, 64 bit",506 MHz,350 MHz,Tesla 2.0,TSMC,40 nm,727 million,5.0M / mm²,144 mm²,11.1 (10_1),3.3,1.1,N/A,4.1,1.2,,,96,32,8,12,,,64 KB,,75 W,2.024 GPixel/s,8.096 GTexel/s,,97.15 GFLOPS,
Nvidia,GeForce 300,GeForce 315 OEM,https://www.techpowerup.com/gpu-specs/geforce-315-oem.c609,GT216,https://www.techpowerup.com/gpu-specs/nvidia-gt216.g141,"Mar 31st, 2010",PCIe 2.0 x16,"512 MB, DDR3, 64 bit",475 MHz,790 MHz,Tesla 2.0,TSMC,40 nm,486 million,4.9M / mm²,100 mm²,11.1 (10_1),3.3,1.1,N/A,4.1,1.2,,,48,16,8,6,,,64 KB,,58 W,3.800 GPixel/s,7.600 GTexel/s,,105.6 GFLOPS,
Nvidia,GeForce 300,GeForce GT 320 OEM,https://www.techpowerup.com/gpu-specs/geforce-gt-320-oem.c294,GT215,https://www.techpowerup.com/gpu-specs/nvidia-gt215.g96,"Feb 2nd, 2010",PCIe 2.0 x16,"1024 MB, GDDR3, 128 bit",540 MHz,790 MHz,Tesla 2.0,TSMC,40 nm,727 million,5.0M / mm²,144 mm²,11.1 (10_1),3.3,1.1,N/A,4.1,1.2,,,96,32,8,12,,,64 KB,,75 W,4.320 GPixel/s,12.96 GTexel/s,,187.5 GFLOPS,
Nvidia,GeForce 300,GeForce GT 330 OEM,https://www.techpowerup.com/gpu-specs/geforce-gt-330-oem.c4054,GT215,https://www.techpowerup.com/gpu-specs/nvidia-gt215.g96,"Feb 2nd, 2010",PCIe 2.0 x16,"1024 MB, GDDR3, 128 bit",540 MHz,790 MHz,Tesla 2.0,TSMC,40 nm,727 million,5.0M / mm²,144 mm²,11.1 (10_1),3.3,1.1,N/A,4.1,1.2,,,96,32,8,12,,,64 KB,,75 W,4.320 GPixel/s,17.28 GTexel/s,,250.4 GFLOPS,
Nvidia,GeForce 300,GeForce GT 330 OEM,https://www.techpowerup.com/gpu-specs/geforce-gt-330-oem.c1758,GT215,https://www.techpowerup.com/gpu-specs/nvidia-gt215.g96,"Feb 2nd, 2010",PCIe 2.0 x16,"512 MB, GDDR3, 128 bit",550 MHz,1000 MHz,Tesla 2.0,TSMC,40 nm,727 million,5.0M / mm²,144 mm²,11.1 (10_1),3.3,1.1,N/A,4.1,1.2,,,96,32,8,12,,,64 KB,,75 W,4.400 GPixel/s,17.60 GTexel/s,,257.3 GFLOPS,
Nvidia,GeForce 300,GeForce GT 330 OEM,https://www.techpowerup.com/gpu-specs/geforce-gt-330-oem.c1757,G92B,https://www.techpowerup.com/gpu-specs/nvidia-g92b.g94,"Feb 2nd, 2010",PCIe 2.0 x16,"256 MB, DDR2, 128 bit",500 MHz,510 MHz,Tesla,TSMC,55 nm,754 million,2.9M / mm²,260 mm²,11.1 (10_0),3.3,1.1,N/A,4.0,1.2,,,128,64,16,16,,,64 KB,,150 W,8.000 GPixel/s,24.00 GTexel/s,,240.0 GFLOPS,
Nvidia,GeForce 300,GeForce GT 330 OEM,https://www.techpowerup.com/gpu-specs/geforce-gt-330-oem.c3314,G92,https://www.techpowerup.com/gpu-specs/nvidia-g92.g58,"Feb 2nd, 2010",PCIe 2.0 x16,"1024 MB, GDDR3, 256 bit",500 MHz,800 MHz,Tesla,TSMC,65 nm,754 million,2.3M / mm²,324 mm²,11.1 (10_0),3.3,1.1,N/A,4.0,1.2,,,128,64,16,16,,,64 KB,,640 W,4.000 GPixel/s,24.00 GTexel/s,,240.0 GFLOPS,
Nvidia,GeForce 300,GeForce GT 340 OEM,https://www.techpowerup.com/gpu-specs/geforce-gt-340-oem.c293,GT215,https://www.techpowerup.com/gpu-specs/nvidia-gt215.g96,"Feb 2nd, 2010",PCIe 2.0 x16,"1024 MB, GDDR3, 128 bit",550 MHz,850 MHz,Tesla 2.0,TSMC,40 nm,727 million,5.0M / mm²,144 mm²,11.1 (10_1),3.3,1.1,N/A,4.1,1.2,,,96,32,8,12,,,64 KB,,75 W,4.400 GPixel/s,17.60 GTexel/s,,257.3 GFLOPS,
Nvidia,GeForce 400,GeForce 405 OEM,https://www.techpowerup.com/gpu-specs/geforce-405-oem.c2106,GT218S,https://www.techpowerup.com/gpu-specs/nvidia-gt218s.g140,"Sep 3rd, 2010",PCIe 2.0 x16,"512 MB, DDR3, 64 bit",589 MHz,790 MHz,Tesla 2.0,TSMC,40 nm,260 million,4.6M / mm²,57 mm²,11.1 (10_1),3.3,1.1,N/A,4.1,1.2,,,16,8,4,2,,,32 KB,,50 W,2.356 GPixel/s,4.712 GTexel/s,,44.86 GFLOPS,
Nvidia,GeForce 400,GeForce 405 OEM,https://www.techpowerup.com/gpu-specs/geforce-405-oem.c3759,GT216,https://www.techpowerup.com/gpu-specs/nvidia-gt216.g141,"Sep 3rd, 2010",PCIe 2.0 x16,"1024 MB, DDR2, 128 bit",475 MHz,400 MHz,Tesla 2.0,TSMC,40 nm,486 million,4.9M / mm²,100 mm²,11.1 (10_1),3.3,1.1,N/A,4.1,1.2,,,48,16,8,6,,,64 KB,,58 W,3.800 GPixel/s,5.700 GTexel/s,,52.80 GFLOPS,
